id,first_name,last_name,name,email,designation,department,city,state,status,created_at,updated_at,deleted_at
0ef691cb-a3b6-4c00-93f4-b28b0fe40706,Omkaar,Chadha,Omkaar Chadha,falgunighosh@example.net,Senior Sales,Sales,Ahmedabad,Gujarat,Active,2026-05-16 13:51:14.693456,2026-05-16 13:51:14.693457,
616ac0bf-be55-4a3c-aa34-f023ca00068f,Bhavini,Sandal,Bhavini Sandal,itata@example.org,Sales Executive,Sales,Pune,Maharashtra,Active,2026-05-16 13:51:14.693508,2026-05-16 13:51:14.693509,
f9140f89-9c0b-4ce1-8467-c50ef091fb7a,Isaac,Prashad,Isaac Prashad,beraanirudh@example.org,Sales Manager,Sales,Delhi,Delhi,Active,2026-05-16 13:51:14.693571,2026-05-16 13:51:14.693572,
560f2adc-162e-473b-8cd1-0546376e74e9,Ekavir,Sankar,Ekavir Sankar,ibawa@example.com,Sales Manager,Sales,Chennai,Tamil Nadu,Active,2026-05-16 13:51:14.693620,2026-05-16 13:51:14.693621,
404d7654-52ae-4333-91d7-753b4d63789e,Tejas,Verma,Tejas Verma,goyalyatan@example.net,Senior Sales,Sales,Hyderabad,Telangana,Active,2026-05-16 13:51:14.693672,2026-05-16 13:51:14.693673,
13815ae1-d9c7-4b60-877c-5b354527caac,Aditya,Nanda,Aditya Nanda,sameshdoshi@example.com,Sales Executive,Sales,Nashik,Maharashtra,Active,2026-05-16 13:51:14.693723,2026-05-16 13:51:14.693724,
3c2514fb-429d-444a-bc6c-7c4a2ce757be,Qasim,Bath,Qasim Bath,apillai@example.org,Sales Manager,Sales,Kochi,Kerala,Active,2026-05-16 13:51:14.693771,2026-05-16 13:51:14.693771,
f8ad7ff5-bd31-4f9e-934f-a32327b5c155,Laksh,Dash,Laksh Dash,nidra28@example.com,Sales Executive,Sales,Chennai,Tamil Nadu,Active,2026-05-16 13:51:14.693820,2026-05-16 13:51:14.693821,
fca4d392-94e8-47e1-bdb4-3dca1cb88b3a,Bhavani,Chaudhry,Bhavani Chaudhry,ayushyadav@example.org,Sales Manager,Sales,Nashik,Maharashtra,Active,2026-05-16 13:51:14.693872,2026-05-16 13:51:14.693872,
85cb5067-c9a3-4ea0-b695-f80c7e19abf2,Aditya,Sastry,Aditya Sastry,fradovyas@example.net,Senior Sales,Sales,Kochi,Kerala,Active,2026-05-16 13:51:14.693921,2026-05-16 13:51:14.693922,
a479e5cf-9f94-4433-ad29-445f2f57265f,Naveen,Dhillon,Naveen Dhillon,venkateshvivaan@example.com,Senior Sales,Sales,Bangalore,Karnataka,Active,2026-05-16 13:51:14.693972,2026-05-16 13:51:14.693973,
a5499ef3-1ed0-4e7d-b2d8-5e51f825a648,Rohan,Sastry,Rohan Sastry,horameghana@example.org,Sales Executive,Sales,Kochi,Kerala,Active,2026-05-16 13:51:14.694021,2026-05-16 13:51:14.694022,
0c6634a5-fb54-4e6c-91ef-7ec0e2cc3378,Lakshmi,Dass,Lakshmi Dass,vermajatin@example.com,Sales Executive,Sales,Pune,Maharashtra,Active,2026-05-16 13:51:14.694078,2026-05-16 13:51:14.694078,
e441befa-88af-4f32-a4b7-caa2f90837a6,Balhaar,Toor,Balhaar Toor,takomya@example.com,Sales Executive,Sales,Bangalore,Karnataka,Active,2026-05-16 13:51:14.694126,2026-05-16 13:51:14.694126,
95287636-f2f6-4a35-8af3-a9fe68a5d1c0,Indali,Walia,Indali Walia,aarna17@example.net,Sales Manager,Sales,Delhi,Delhi,Active,2026-05-16 13:51:14.694178,2026-05-16 13:51:14.694179,
